,prompt,completion
121,"date=1/1/1994, spcpi=5, spcpi_m_s=5, spcpi_m_fe=5, spcpi_m_fes=5, trim_mean_pce=4, sixteenP_trim_mean_cpi=4, median_cpi=3, fpcpi=2, fpcpi_m_fe=3->",3
122,"date=2/1/1994, spcpi=5, spcpi_m_s=5, spcpi_m_fe=5, spcpi_m_fes=5, trim_mean_pce=4, sixteenP_trim_mean_cpi=4, median_cpi=4, fpcpi=2, fpcpi_m_fe=2->",2
123,"date=3/1/1994, spcpi=5, spcpi_m_s=5, spcpi_m_fe=5, spcpi_m_fes=5, trim_mean_pce=4, sixteenP_trim_mean_cpi=5, median_cpi=4, fpcpi=2, fpcpi_m_fe=2->",2
124,"date=4/1/1994, spcpi=5, spcpi_m_s=5, spcpi_m_fe=5, spcpi_m_fes=5, trim_mean_pce=4, sixteenP_trim_mean_cpi=4, median_cpi=3, fpcpi=2, fpcpi_m_fe=2->",2
125,"date=5/1/1994, spcpi=4, spcpi_m_s=5, spcpi_m_fe=5, spcpi_m_fes=5, trim_mean_pce=4, sixteenP_trim_mean_cpi=4, median_cpi=3, fpcpi=2, fpcpi_m_fe=3->",3
126,"date=6/1/1994, spcpi=4, spcpi_m_s=5, spcpi_m_fe=5, spcpi_m_fes=5, trim_mean_pce=4, sixteenP_trim_mean_cpi=4, median_cpi=3, fpcpi=2, fpcpi_m_fe=4->",4
127,"date=7/1/1994, spcpi=4, spcpi_m_s=5, spcpi_m_fe=5, spcpi_m_fes=5, trim_mean_pce=4, sixteenP_trim_mean_cpi=4, median_cpi=4, fpcpi=3, fpcpi_m_fe=4->",4
128,"date=8/1/1994, spcpi=5, spcpi_m_s=5, spcpi_m_fe=5, spcpi_m_fes=5, trim_mean_pce=4, sixteenP_trim_mean_cpi=5, median_cpi=4, fpcpi=4, fpcpi_m_fe=4->",4
129,"date=9/1/1994, spcpi=4, spcpi_m_s=5, spcpi_m_fe=5, spcpi_m_fes=5, trim_mean_pce=4, sixteenP_trim_mean_cpi=5, median_cpi=5, fpcpi=4, fpcpi_m_fe=5->",5
130,"date=10/1/1994, spcpi=4, spcpi_m_s=4, spcpi_m_fe=5, spcpi_m_fes=5, trim_mean_pce=4, sixteenP_trim_mean_cpi=4, median_cpi=4, fpcpi=3, fpcpi_m_fe=5->",5
131,"date=11/1/1994, spcpi=4, spcpi_m_s=4, spcpi_m_fe=4, spcpi_m_fes=4, trim_mean_pce=4, sixteenP_trim_mean_cpi=4, median_cpi=4, fpcpi=3, fpcpi_m_fe=4->",4
132,"date=12/1/1994, spcpi=4, spcpi_m_s=4, spcpi_m_fe=4, spcpi_m_fes=4, trim_mean_pce=3, sixteenP_trim_mean_cpi=3, median_cpi=4, fpcpi=4, fpcpi_m_fe=4->",4
133,"date=1/1/1995, spcpi=4, spcpi_m_s=5, spcpi_m_fe=4, spcpi_m_fes=5, trim_mean_pce=4, sixteenP_trim_mean_cpi=4, median_cpi=4, fpcpi=4, fpcpi_m_fe=5->",5
134,"date=2/1/1995, spcpi=4, spcpi_m_s=5, spcpi_m_fe=4, spcpi_m_fes=5, trim_mean_pce=4, sixteenP_trim_mean_cpi=4, median_cpi=4, fpcpi=4, fpcpi_m_fe=5->",5
135,"date=3/1/1995, spcpi=4, spcpi_m_s=5, spcpi_m_fe=5, spcpi_m_fes=5, trim_mean_pce=3, sixteenP_trim_mean_cpi=4, median_cpi=5, fpcpi=4, fpcpi_m_fe=5->",5
136,"date=4/1/1995, spcpi=5, spcpi_m_s=5, spcpi_m_fe=5, spcpi_m_fes=5, trim_mean_pce=4, sixteenP_trim_mean_cpi=5, median_cpi=5, fpcpi=4, fpcpi_m_fe=5->",5
137,"date=5/1/1995, spcpi=5, spcpi_m_s=5, spcpi_m_fe=5, spcpi_m_fes=5, trim_mean_pce=4, sixteenP_trim_mean_cpi=5, median_cpi=5, fpcpi=4, fpcpi_m_fe=5->",5
138,"date=6/1/1995, spcpi=5, spcpi_m_s=5, spcpi_m_fe=5, spcpi_m_fes=5, trim_mean_pce=3, sixteenP_trim_mean_cpi=4, median_cpi=5, fpcpi=4, fpcpi_m_fe=4->",4
139,"date=7/1/1995, spcpi=5, spcpi_m_s=5, spcpi_m_fe=5, spcpi_m_fes=5, trim_mean_pce=3, sixteenP_trim_mean_cpi=4, median_cpi=5, fpcpi=3, fpcpi_m_fe=4->",4
140,"date=8/1/1995, spcpi=5, spcpi_m_s=5, spcpi_m_fe=5, spcpi_m_fes=5, trim_mean_pce=3, sixteenP_trim_mean_cpi=4, median_cpi=5, fpcpi=2, fpcpi_m_fe=4->",4
141,"date=9/1/1995, spcpi=5, spcpi_m_s=5, spcpi_m_fe=5, spcpi_m_fes=5, trim_mean_pce=3, sixteenP_trim_mean_cpi=4, median_cpi=5, fpcpi=2, fpcpi_m_fe=4->",4
142,"date=10/1/1995, spcpi=5, spcpi_m_s=5, spcpi_m_fe=5, spcpi_m_fes=5, trim_mean_pce=4, sixteenP_trim_mean_cpi=5, median_cpi=5, fpcpi=2, fpcpi_m_fe=4->",4
143,"date=11/1/1995, spcpi=5, spcpi_m_s=5, spcpi_m_fe=5, spcpi_m_fes=5, trim_mean_pce=4, sixteenP_trim_mean_cpi=4, median_cpi=5, fpcpi=2, fpcpi_m_fe=4->",4
144,"date=12/1/1995, spcpi=5, spcpi_m_s=5, spcpi_m_fe=5, spcpi_m_fes=5, trim_mean_pce=4, sixteenP_trim_mean_cpi=5, median_cpi=5, fpcpi=2, fpcpi_m_fe=4->",4
145,"date=1/1/1996, spcpi=5, spcpi_m_s=5, spcpi_m_fe=5, spcpi_m_fes=5, trim_mean_pce=3, sixteenP_trim_mean_cpi=5, median_cpi=5, fpcpi=3, fpcpi_m_fe=4->",4
146,"date=2/1/1996, spcpi=5, spcpi_m_s=5, spcpi_m_fe=5, spcpi_m_fes=5, trim_mean_pce=3, sixteenP_trim_mean_cpi=5, median_cpi=5, fpcpi=3, fpcpi_m_fe=4->",4
147,"date=3/1/1996, spcpi=4, spcpi_m_s=4, spcpi_m_fe=4, spcpi_m_fes=5, trim_mean_pce=4, sixteenP_trim_mean_cpi=5, median_cpi=5, fpcpi=4, fpcpi_m_fe=4->",4
148,"date=4/1/1996, spcpi=4, spcpi_m_s=4, spcpi_m_fe=4, spcpi_m_fes=4, trim_mean_pce=3, sixteenP_trim_mean_cpi=4, median_cpi=5, fpcpi=4, fpcpi_m_fe=3->",3
149,"date=5/1/1996, spcpi=4, spcpi_m_s=4, spcpi_m_fe=4, spcpi_m_fes=5, trim_mean_pce=3, sixteenP_trim_mean_cpi=4, median_cpi=4, fpcpi=4, fpcpi_m_fe=3->",3
150,"date=6/1/1996, spcpi=4, spcpi_m_s=4, spcpi_m_fe=4, spcpi_m_fes=5, trim_mean_pce=4, sixteenP_trim_mean_cpi=5, median_cpi=4, fpcpi=3, fpcpi_m_fe=3->",3
151,"date=7/1/1996, spcpi=4, spcpi_m_s=4, spcpi_m_fe=4, spcpi_m_fes=4, trim_mean_pce=4, sixteenP_trim_mean_cpi=5, median_cpi=4, fpcpi=4, fpcpi_m_fe=3->",3
152,"date=8/1/1996, spcpi=4, spcpi_m_s=4, spcpi_m_fe=4, spcpi_m_fes=5, trim_mean_pce=4, sixteenP_trim_mean_cpi=4, median_cpi=4, fpcpi=4, fpcpi_m_fe=2->",2
153,"date=9/1/1996, spcpi=4, spcpi_m_s=5, spcpi_m_fe=4, spcpi_m_fes=5, trim_mean_pce=4, sixteenP_trim_mean_cpi=5, median_cpi=4, fpcpi=4, fpcpi_m_fe=2->",2
154,"date=10/1/1996, spcpi=4, spcpi_m_s=4, spcpi_m_fe=4, spcpi_m_fes=4, trim_mean_pce=4, sixteenP_trim_mean_cpi=5, median_cpi=4, fpcpi=5, fpcpi_m_fe=2->",2
155,"date=11/1/1996, spcpi=4, spcpi_m_s=5, spcpi_m_fe=4, spcpi_m_fes=5, trim_mean_pce=4, sixteenP_trim_mean_cpi=5, median_cpi=4, fpcpi=5, fpcpi_m_fe=3->",3
156,"date=12/1/1996, spcpi=4, spcpi_m_s=5, spcpi_m_fe=4, spcpi_m_fes=5, trim_mean_pce=4, sixteenP_trim_mean_cpi=5, median_cpi=4, fpcpi=5, fpcpi_m_fe=2->",2
157,"date=1/1/1997, spcpi=4, spcpi_m_s=5, spcpi_m_fe=4, spcpi_m_fes=4, trim_mean_pce=4, sixteenP_trim_mean_cpi=4, median_cpi=4, fpcpi=5, fpcpi_m_fe=2->",2
158,"date=2/1/1997, spcpi=4, spcpi_m_s=4, spcpi_m_fe=4, spcpi_m_fes=4, trim_mean_pce=4, sixteenP_trim_mean_cpi=4, median_cpi=4, fpcpi=5, fpcpi_m_fe=3->",3
159,"date=3/1/1997, spcpi=4, spcpi_m_s=4, spcpi_m_fe=4, spcpi_m_fes=4, trim_mean_pce=4, sixteenP_trim_mean_cpi=4, median_cpi=4, fpcpi=3, fpcpi_m_fe=2->",2
160,"date=4/1/1997, spcpi=4, spcpi_m_s=4, spcpi_m_fe=4, spcpi_m_fes=4, trim_mean_pce=4, sixteenP_trim_mean_cpi=4, median_cpi=4, fpcpi=2, fpcpi_m_fe=3->",3
161,"date=5/1/1997, spcpi=4, spcpi_m_s=4, spcpi_m_fe=4, spcpi_m_fes=4, trim_mean_pce=3, sixteenP_trim_mean_cpi=3, median_cpi=4, fpcpi=2, fpcpi_m_fe=3->",3
162,"date=6/1/1997, spcpi=4, spcpi_m_s=4, spcpi_m_fe=4, spcpi_m_fes=4, trim_mean_pce=3, sixteenP_trim_mean_cpi=3, median_cpi=4, fpcpi=2, fpcpi_m_fe=2->",2
163,"date=7/1/1997, spcpi=3, spcpi_m_s=4, spcpi_m_fe=4, spcpi_m_fes=4, trim_mean_pce=3, sixteenP_trim_mean_cpi=3, median_cpi=3, fpcpi=2, fpcpi_m_fe=2->",2
164,"date=8/1/1997, spcpi=3, spcpi_m_s=3, spcpi_m_fe=3, spcpi_m_fes=3, trim_mean_pce=3, sixteenP_trim_mean_cpi=3, median_cpi=3, fpcpi=2, fpcpi_m_fe=2->",2
165,"date=9/1/1997, spcpi=3, spcpi_m_s=3, spcpi_m_fe=3, spcpi_m_fes=3, trim_mean_pce=3, sixteenP_trim_mean_cpi=3, median_cpi=3, fpcpi=2, fpcpi_m_fe=2->",2
166,"date=10/1/1997, spcpi=3, spcpi_m_s=3, spcpi_m_fe=3, spcpi_m_fes=3, trim_mean_pce=2, sixteenP_trim_mean_cpi=2, median_cpi=3, fpcpi=2, fpcpi_m_fe=2->",2
167,"date=11/1/1997, spcpi=3, spcpi_m_s=2, spcpi_m_fe=3, spcpi_m_fes=2, trim_mean_pce=1, sixteenP_trim_mean_cpi=2, median_cpi=2, fpcpi=1, fpcpi_m_fe=1->",1
168,"date=12/1/1997, spcpi=3, spcpi_m_s=2, spcpi_m_fe=3, spcpi_m_fes=2, trim_mean_pce=1, sixteenP_trim_mean_cpi=2, median_cpi=3, fpcpi=1, fpcpi_m_fe=2->",2
169,"date=1/1/1998, spcpi=3, spcpi_m_s=3, spcpi_m_fe=3, spcpi_m_fes=3, trim_mean_pce=0, sixteenP_trim_mean_cpi=2, median_cpi=2, fpcpi=1, fpcpi_m_fe=1->",1
170,"date=2/1/1998, spcpi=3, spcpi_m_s=3, spcpi_m_fe=3, spcpi_m_fes=3, trim_mean_pce=0, sixteenP_trim_mean_cpi=1, median_cpi=3, fpcpi=0, fpcpi_m_fe=1->",1
171,"date=3/1/1998, spcpi=3, spcpi_m_s=2, spcpi_m_fe=3, spcpi_m_fes=3, trim_mean_pce=0, sixteenP_trim_mean_cpi=2, median_cpi=2, fpcpi=0, fpcpi_m_fe=1->",1
172,"date=4/1/1998, spcpi=3, spcpi_m_s=2, spcpi_m_fe=3, spcpi_m_fes=3, trim_mean_pce=0, sixteenP_trim_mean_cpi=2, median_cpi=2, fpcpi=1, fpcpi_m_fe=1->",1
173,"date=5/1/1998, spcpi=3, spcpi_m_s=2, spcpi_m_fe=3, spcpi_m_fes=2, trim_mean_pce=1, sixteenP_trim_mean_cpi=2, median_cpi=2, fpcpi=1, fpcpi_m_fe=1->",1
174,"date=6/1/1998, spcpi=3, spcpi_m_s=2, spcpi_m_fe=3, spcpi_m_fes=2, trim_mean_pce=0, sixteenP_trim_mean_cpi=2, median_cpi=3, fpcpi=1, fpcpi_m_fe=2->",2
175,"date=7/1/1998, spcpi=3, spcpi_m_s=2, spcpi_m_fe=3, spcpi_m_fes=2, trim_mean_pce=1, sixteenP_trim_mean_cpi=2, median_cpi=3, fpcpi=1, fpcpi_m_fe=3->",3
176,"date=8/1/1998, spcpi=3, spcpi_m_s=2, spcpi_m_fe=3, spcpi_m_fes=2, trim_mean_pce=1, sixteenP_trim_mean_cpi=2, median_cpi=3, fpcpi=1, fpcpi_m_fe=4->",4
177,"date=9/1/1998, spcpi=3, spcpi_m_s=2, spcpi_m_fe=3, spcpi_m_fes=2, trim_mean_pce=1, sixteenP_trim_mean_cpi=2, median_cpi=4, fpcpi=1, fpcpi_m_fe=4->",4
178,"date=10/1/1998, spcpi=3, spcpi_m_s=1, spcpi_m_fe=3, spcpi_m_fes=1, trim_mean_pce=1, sixteenP_trim_mean_cpi=1, median_cpi=4, fpcpi=1, fpcpi_m_fe=4->",4
179,"date=11/1/1998, spcpi=2, spcpi_m_s=1, spcpi_m_fe=3, spcpi_m_fes=2, trim_mean_pce=1, sixteenP_trim_mean_cpi=1, median_cpi=4, fpcpi=1, fpcpi_m_fe=4->",4
180,"date=12/1/1998, spcpi=2, spcpi_m_s=1, spcpi_m_fe=2, spcpi_m_fes=1, trim_mean_pce=2, sixteenP_trim_mean_cpi=1, median_cpi=3, fpcpi=1, fpcpi_m_fe=5->",5
181,"date=1/1/1999, spcpi=2, spcpi_m_s=1, spcpi_m_fe=2, spcpi_m_fes=1, trim_mean_pce=2, sixteenP_trim_mean_cpi=1, median_cpi=3, fpcpi=1, fpcpi_m_fe=5->",5
182,"date=2/1/1999, spcpi=2, spcpi_m_s=1, spcpi_m_fe=2, spcpi_m_fes=1, trim_mean_pce=1, sixteenP_trim_mean_cpi=1, median_cpi=3, fpcpi=1, fpcpi_m_fe=4->",4
183,"date=3/1/1999, spcpi=1, spcpi_m_s=1, spcpi_m_fe=2, spcpi_m_fes=1, trim_mean_pce=1, sixteenP_trim_mean_cpi=0, median_cpi=2, fpcpi=2, fpcpi_m_fe=4->",4
184,"date=4/1/1999, spcpi=1, spcpi_m_s=1, spcpi_m_fe=1, spcpi_m_fes=1, trim_mean_pce=1, sixteenP_trim_mean_cpi=1, median_cpi=2, fpcpi=4, fpcpi_m_fe=5->",5
185,"date=5/1/1999, spcpi=1, spcpi_m_s=1, spcpi_m_fe=1, spcpi_m_fes=1, trim_mean_pce=1, sixteenP_trim_mean_cpi=1, median_cpi=2, fpcpi=3, fpcpi_m_fe=5->",5
186,"date=6/1/1999, spcpi=1, spcpi_m_s=0, spcpi_m_fe=1, spcpi_m_fes=0, trim_mean_pce=1, sixteenP_trim_mean_cpi=0, median_cpi=1, fpcpi=3, fpcpi_m_fe=5->",5
187,"date=7/1/1999, spcpi=1, spcpi_m_s=1, spcpi_m_fe=1, spcpi_m_fes=1, trim_mean_pce=1, sixteenP_trim_mean_cpi=0, median_cpi=1, fpcpi=4, fpcpi_m_fe=5->",5
188,"date=8/1/1999, spcpi=1, spcpi_m_s=1, spcpi_m_fe=1, spcpi_m_fes=1, trim_mean_pce=1, sixteenP_trim_mean_cpi=0, median_cpi=1, fpcpi=4, fpcpi_m_fe=4->",4
189,"date=9/1/1999, spcpi=1, spcpi_m_s=1, spcpi_m_fe=1, spcpi_m_fes=1, trim_mean_pce=1, sixteenP_trim_mean_cpi=1, median_cpi=0, fpcpi=5, fpcpi_m_fe=5->",5
190,"date=10/1/1999, spcpi=1, spcpi_m_s=1, spcpi_m_fe=1, spcpi_m_fes=1, trim_mean_pce=2, sixteenP_trim_mean_cpi=1, median_cpi=0, fpcpi=5, fpcpi_m_fe=5->",5
191,"date=11/1/1999, spcpi=1, spcpi_m_s=1, spcpi_m_fe=1, spcpi_m_fes=1, trim_mean_pce=2, sixteenP_trim_mean_cpi=1, median_cpi=0, fpcpi=5, fpcpi_m_fe=5->",5
192,"date=12/1/1999, spcpi=1, spcpi_m_s=2, spcpi_m_fe=1, spcpi_m_fes=2, trim_mean_pce=2, sixteenP_trim_mean_cpi=1, median_cpi=0, fpcpi=5, fpcpi_m_fe=3->",3
193,"date=1/1/2000, spcpi=2, spcpi_m_s=2, spcpi_m_fe=2, spcpi_m_fes=2, trim_mean_pce=2, sixteenP_trim_mean_cpi=2, median_cpi=1, fpcpi=5, fpcpi_m_fe=3->",3
194,"date=2/1/2000, spcpi=2, spcpi_m_s=2, spcpi_m_fe=2, spcpi_m_fes=2, trim_mean_pce=3, sixteenP_trim_mean_cpi=2, median_cpi=1, fpcpi=6, fpcpi_m_fe=4->",4
195,"date=3/1/2000, spcpi=2, spcpi_m_s=2, spcpi_m_fe=2, spcpi_m_fes=3, trim_mean_pce=3, sixteenP_trim_mean_cpi=3, median_cpi=2, fpcpi=7, fpcpi_m_fe=5->",5
196,"date=4/1/2000, spcpi=2, spcpi_m_s=2, spcpi_m_fe=2, spcpi_m_fes=2, trim_mean_pce=3, sixteenP_trim_mean_cpi=2, median_cpi=2, fpcpi=6, fpcpi_m_fe=5->",5
197,"date=5/1/2000, spcpi=3, spcpi_m_s=3, spcpi_m_fe=3, spcpi_m_fes=3, trim_mean_pce=3, sixteenP_trim_mean_cpi=3, median_cpi=2, fpcpi=6, fpcpi_m_fe=5->",5
198,"date=6/1/2000, spcpi=3, spcpi_m_s=3, spcpi_m_fe=3, spcpi_m_fes=4, trim_mean_pce=4, sixteenP_trim_mean_cpi=3, median_cpi=3, fpcpi=6, fpcpi_m_fe=5->",5
199,"date=7/1/2000, spcpi=3, spcpi_m_s=3, spcpi_m_fe=3, spcpi_m_fes=3, trim_mean_pce=4, sixteenP_trim_mean_cpi=4, median_cpi=3, fpcpi=6, fpcpi_m_fe=4->",4
200,"date=8/1/2000, spcpi=4, spcpi_m_s=4, spcpi_m_fe=4, spcpi_m_fes=4, trim_mean_pce=4, sixteenP_trim_mean_cpi=4, median_cpi=3, fpcpi=6, fpcpi_m_fe=4->",4
201,"date=9/1/2000, spcpi=4, spcpi_m_s=4, spcpi_m_fe=4, spcpi_m_fes=4, trim_mean_pce=4, sixteenP_trim_mean_cpi=4, median_cpi=4, fpcpi=6, fpcpi_m_fe=3->",3
202,"date=10/1/2000, spcpi=4, spcpi_m_s=4, spcpi_m_fe=4, spcpi_m_fes=4, trim_mean_pce=4, sixteenP_trim_mean_cpi=4, median_cpi=4, fpcpi=6, fpcpi_m_fe=3->",3
203,"date=11/1/2000, spcpi=4, spcpi_m_s=3, spcpi_m_fe=4, spcpi_m_fes=4, trim_mean_pce=5, sixteenP_trim_mean_cpi=4, median_cpi=4, fpcpi=6, fpcpi_m_fe=4->",4
204,"date=12/1/2000, spcpi=4, spcpi_m_s=3, spcpi_m_fe=4, spcpi_m_fes=4, trim_mean_pce=5, sixteenP_trim_mean_cpi=5, median_cpi=5, fpcpi=6, fpcpi_m_fe=3->",3
205,"date=1/1/2001, spcpi=4, spcpi_m_s=4, spcpi_m_fe=4, spcpi_m_fes=4, trim_mean_pce=5, sixteenP_trim_mean_cpi=5, median_cpi=5, fpcpi=6, fpcpi_m_fe=4->",4
206,"date=2/1/2001, spcpi=4, spcpi_m_s=4, spcpi_m_fe=4, spcpi_m_fes=4, trim_mean_pce=5, sixteenP_trim_mean_cpi=5, median_cpi=5, fpcpi=6, fpcpi_m_fe=5->",5
207,"date=3/1/2001, spcpi=4, spcpi_m_s=3, spcpi_m_fe=4, spcpi_m_fes=4, trim_mean_pce=5, sixteenP_trim_mean_cpi=4, median_cpi=5, fpcpi=5, fpcpi_m_fe=4->",4
208,"date=4/1/2001, spcpi=4, spcpi_m_s=4, spcpi_m_fe=4, spcpi_m_fes=4, trim_mean_pce=5, sixteenP_trim_mean_cpi=5, median_cpi=5, fpcpi=5, fpcpi_m_fe=3->",3
209,"date=5/1/2001, spcpi=4, spcpi_m_s=3, spcpi_m_fe=4, spcpi_m_fes=3, trim_mean_pce=5, sixteenP_trim_mean_cpi=5, median_cpi=5, fpcpi=6, fpcpi_m_fe=2->",2
210,"date=6/1/2001, spcpi=5, spcpi_m_s=4, spcpi_m_fe=5, spcpi_m_fes=4, trim_mean_pce=5, sixteenP_trim_mean_cpi=5, median_cpi=5, fpcpi=5, fpcpi_m_fe=3->",3
211,"date=7/1/2001, spcpi=5, spcpi_m_s=4, spcpi_m_fe=5, spcpi_m_fes=4, trim_mean_pce=5, sixteenP_trim_mean_cpi=4, median_cpi=5, fpcpi=3, fpcpi_m_fe=3->",3
212,"date=8/1/2001, spcpi=5, spcpi_m_s=4, spcpi_m_fe=5, spcpi_m_fes=4, trim_mean_pce=5, sixteenP_trim_mean_cpi=4, median_cpi=5, fpcpi=3, fpcpi_m_fe=2->",2
213,"date=9/1/2001, spcpi=5, spcpi_m_s=4, spcpi_m_fe=5, spcpi_m_fes=4, trim_mean_pce=5, sixteenP_trim_mean_cpi=4, median_cpi=5, fpcpi=2, fpcpi_m_fe=0->",0
214,"date=10/1/2001, spcpi=5, spcpi_m_s=4, spcpi_m_fe=5, spcpi_m_fes=4, trim_mean_pce=5, sixteenP_trim_mean_cpi=4, median_cpi=5, fpcpi=1, fpcpi_m_fe=0->",0
215,"date=11/1/2001, spcpi=5, spcpi_m_s=4, spcpi_m_fe=5, spcpi_m_fes=4, trim_mean_pce=5, sixteenP_trim_mean_cpi=4, median_cpi=6, fpcpi=1, fpcpi_m_fe=0->",0
216,"date=12/1/2001, spcpi=5, spcpi_m_s=4, spcpi_m_fe=5, spcpi_m_fes=4, trim_mean_pce=4, sixteenP_trim_mean_cpi=4, median_cpi=5, fpcpi=0, fpcpi_m_fe=1->",1
217,"date=1/1/2002, spcpi=5, spcpi_m_s=4, spcpi_m_fe=5, spcpi_m_fes=4, trim_mean_pce=3, sixteenP_trim_mean_cpi=3, median_cpi=5, fpcpi=0, fpcpi_m_fe=0->",0
218,"date=2/1/2002, spcpi=5, spcpi_m_s=4, spcpi_m_fe=5, spcpi_m_fes=4, trim_mean_pce=3, sixteenP_trim_mean_cpi=3, median_cpi=5, fpcpi=0, fpcpi_m_fe=0->",0
219,"date=3/1/2002, spcpi=5, spcpi_m_s=4, spcpi_m_fe=5, spcpi_m_fes=4, trim_mean_pce=3, sixteenP_trim_mean_cpi=2, median_cpi=5, fpcpi=0, fpcpi_m_fe=0->",0
220,"date=4/1/2002, spcpi=5, spcpi_m_s=4, spcpi_m_fe=5, spcpi_m_fes=4, trim_mean_pce=3, sixteenP_trim_mean_cpi=3, median_cpi=5, fpcpi=0, fpcpi_m_fe=0->",0
221,"date=5/1/2002, spcpi=5, spcpi_m_s=4, spcpi_m_fe=5, spcpi_m_fes=4, trim_mean_pce=3, sixteenP_trim_mean_cpi=2, median_cpi=5, fpcpi=0, fpcpi_m_fe=0->",0
222,"date=6/1/2002, spcpi=5, spcpi_m_s=4, spcpi_m_fe=5, spcpi_m_fes=4, trim_mean_pce=2, sixteenP_trim_mean_cpi=1, median_cpi=4, fpcpi=0, fpcpi_m_fe=0->",0
223,"date=7/1/2002, spcpi=5, spcpi_m_s=4, spcpi_m_fe=5, spcpi_m_fes=4, trim_mean_pce=3, sixteenP_trim_mean_cpi=2, median_cpi=4, fpcpi=0, fpcpi_m_fe=0->",0
224,"date=8/1/2002, spcpi=4, spcpi_m_s=4, spcpi_m_fe=4, spcpi_m_fes=4, trim_mean_pce=2, sixteenP_trim_mean_cpi=2, median_cpi=4, fpcpi=1, fpcpi_m_fe=0->",0
225,"date=9/1/2002, spcpi=4, spcpi_m_s=3, spcpi_m_fe=4, spcpi_m_fes=3, trim_mean_pce=3, sixteenP_trim_mean_cpi=2, median_cpi=4, fpcpi=1, fpcpi_m_fe=0->",0
226,"date=10/1/2002, spcpi=4, spcpi_m_s=3, spcpi_m_fe=4, spcpi_m_fes=3, trim_mean_pce=3, sixteenP_trim_mean_cpi=2, median_cpi=3, fpcpi=1, fpcpi_m_fe=0->",0
227,"date=11/1/2002, spcpi=3, spcpi_m_s=3, spcpi_m_fe=4, spcpi_m_fes=3, trim_mean_pce=3, sixteenP_trim_mean_cpi=2, median_cpi=2, fpcpi=2, fpcpi_m_fe=0->",0
228,"date=12/1/2002, spcpi=3, spcpi_m_s=3, spcpi_m_fe=4, spcpi_m_fes=3, trim_mean_pce=3, sixteenP_trim_mean_cpi=2, median_cpi=2, fpcpi=3, fpcpi_m_fe=0->",0
229,"date=1/1/2003, spcpi=3, spcpi_m_s=3, spcpi_m_fe=4, spcpi_m_fes=3, trim_mean_pce=3, sixteenP_trim_mean_cpi=2, median_cpi=2, fpcpi=4, fpcpi_m_fe=0->",0
230,"date=2/1/2003, spcpi=3, spcpi_m_s=3, spcpi_m_fe=3, spcpi_m_fes=3, trim_mean_pce=2, sixteenP_trim_mean_cpi=2, median_cpi=2, fpcpi=5, fpcpi_m_fe=0->",0
231,"date=3/1/2003, spcpi=3, spcpi_m_s=3, spcpi_m_fe=3, spcpi_m_fes=3, trim_mean_pce=2, sixteenP_trim_mean_cpi=2, median_cpi=1, fpcpi=5, fpcpi_m_fe=0->",0
232,"date=4/1/2003, spcpi=2, spcpi_m_s=2, spcpi_m_fe=2, spcpi_m_fes=3, trim_mean_pce=2, sixteenP_trim_mean_cpi=1, median_cpi=0, fpcpi=3, fpcpi_m_fe=0->",0
233,"date=5/1/2003, spcpi=2, spcpi_m_s=2, spcpi_m_fe=2, spcpi_m_fes=2, trim_mean_pce=2, sixteenP_trim_mean_cpi=0, median_cpi=0, fpcpi=2, fpcpi_m_fe=0->",0
234,"date=6/1/2003, spcpi=1, spcpi_m_s=2, spcpi_m_fe=2, spcpi_m_fes=3, trim_mean_pce=1, sixteenP_trim_mean_cpi=1, median_cpi=0, fpcpi=2, fpcpi_m_fe=0->",0
235,"date=7/1/2003, spcpi=1, spcpi_m_s=2, spcpi_m_fe=1, spcpi_m_fes=2, trim_mean_pce=1, sixteenP_trim_mean_cpi=1, median_cpi=0, fpcpi=3, fpcpi_m_fe=0->",0
236,"date=8/1/2003, spcpi=1, spcpi_m_s=2, spcpi_m_fe=1, spcpi_m_fes=2, trim_mean_pce=1, sixteenP_trim_mean_cpi=0, median_cpi=0, fpcpi=4, fpcpi_m_fe=0->",0
237,"date=9/1/2003, spcpi=1, spcpi_m_s=2, spcpi_m_fe=1, spcpi_m_fes=2, trim_mean_pce=1, sixteenP_trim_mean_cpi=0, median_cpi=0, fpcpi=5, fpcpi_m_fe=0->",0
238,"date=10/1/2003, spcpi=1, spcpi_m_s=2, spcpi_m_fe=1, spcpi_m_fes=2, trim_mean_pce=1, sixteenP_trim_mean_cpi=0, median_cpi=0, fpcpi=3, fpcpi_m_fe=0->",0
239,"date=11/1/2003, spcpi=0, spcpi_m_s=1, spcpi_m_fe=1, spcpi_m_fes=1, trim_mean_pce=1, sixteenP_trim_mean_cpi=0, median_cpi=0, fpcpi=3, fpcpi_m_fe=0->",0
240,"date=12/1/2003, spcpi=0, spcpi_m_s=1, spcpi_m_fe=0, spcpi_m_fes=2, trim_mean_pce=1, sixteenP_trim_mean_cpi=0, median_cpi=0, fpcpi=4, fpcpi_m_fe=0->",0
241,"date=1/1/2004, spcpi=0, spcpi_m_s=2, spcpi_m_fe=0, spcpi_m_fes=2, trim_mean_pce=2, sixteenP_trim_mean_cpi=0, median_cpi=0, fpcpi=3, fpcpi_m_fe=0->",0
